date,product_name,price
2024-08-30,Queijo Parmesão Ralado Président 50g,9.39
2024-08-30,Queijo Parmesao President 180g,17.9
2024-08-30,Queijo Gruyere President 160g,16.9
2024-08-30,Queijo Parmesão Cilindro Président 180g,28.09
2024-08-30,Queijo Gouda Président 185g,16.9
2024-08-30,Queijo Mussarela Bolinha Búfala Almeida Prado 395 g,29.39
2024-08-30,Queijo Ralado Quatro Queijos Président 100 g,18.49
2024-08-30,Queijo Brie Président Petit 125 g,38.49
2024-08-30,Queijo Estepe President 160g,16.9
2024-08-30,Queijo Mussarela Bolinha de Búfala Almeida Prado 250 g,40.89
2024-08-30,Queijo Maasdam Président 160g,16.9
2024-08-30,Queijo Camembert Peça President 125g,38.49
2024-08-30,Queijo Gorgonzola Igor Dolce 150g,47.89
2024-08-30,Arroz Branco Prato Fino Tipo 1 - 5kg,36.09
2024-08-30,Queijo Minas Padrão 500g,36.34
2024-08-30,Queijo Minas Padrão Verde Campo Aproximadamente 500 g,44.99
2024-08-30,Queijo Minas Padrão Tirolez Aproximadamente 500 g,56.95
2024-08-30,Queijo Minas Padrão Vegano de Castanha de Caju Vida Veg 200g,27.09
2024-08-30,Requeijão Cremoso Catupiry 200g,7.59
2024-08-30,Requeijão Cremoso Catupiry Light 200g,7.59
2024-08-30,Requeijão Cremoso Original Catupiry 250g,14.99
2024-08-30,Requeijão Cremoso Alho Poró Catupiry Culinário 250g,18.49
2024-08-30,Requeijão Cremoso Sabor Cheddar Catupiry Culinário 250 g,18.49
2024-08-30,Iogurte Integral Nestlé Tradicional 170g,3.09
2024-08-30,Iogurte Cremoso Integral Natural Batavo 160 g,2.75
2024-08-30,Leite Condensado MOÇA Lata 395g,9.99
2024-08-30,Creme de Leite NESTLÉ 200g,4.69
2024-08-30,Creme de Leite UHT Leve Homogeneizado Zero Lactose Nestlé 200g,5.89
2024-08-30,Creme de Leite UHT Levíssimo Homogeneizado Nestlé Caixa 200 g,4.89
2024-08-30,Creme de leite NESTLÉ 300g,8.49
2024-08-30,Creme de Leite NESTLÉ Extra Cremoso 280g,12.49
